Name,Path,Position,Is Active,Url Key,Description,Image,Page Title,Meta Keywords,Meta Description,Include In Menu,Display Mode,CMS Block,Is Anchor,Availabe Sort By,Default Sort By,Page Layout,Custom Layout Update,Attribute Id,Brand Id
Ferrari F360,Europe1/Brand/CAPRISTO EXHAUST/Ferrari,88,Yes,ferrari-f360,Ferrari F360,,,Ferrari F360,Ferrari F360,Yes,Products only,,Yes,,,Brand layout,,57,58
Ferrari California,Europe1/Brand/CAPRISTO EXHAUST/Ferrari,34,Yes,ferrari-california,Ferrari California,,,Ferrari California,Ferrari California,Yes,Products only,,Yes,,,Brand layout,,64,58
Ferrari F599 GTO,Europe1/Brand/CAPRISTO EXHAUST/Ferrari,68,Yes,ferrari-f599-gto,"Ferrari F599 GTO
",,Ferrari F599 GTO,"Ferrari F599 GTO
","Ferrari F599 GTO
",Yes,Products only,,Yes,,,Brand layout,,2985,58
Ferrari FF,Europe1/Brand/CAPRISTO EXHAUST/Ferrari,52,Yes,ferrari-ff,"Ferrari FF
",,Ferrari FF,"Ferrari FF
","Ferrari FF
",Yes,Products only,,Yes,,,Brand layout,,2986,58
Lamborghini Huracán,Europe1/Brand/CAPRISTO EXHAUST/Lamborghini,25,Yes,lamborghini-huracan,"Lamborghini Huracán
",,Lamborghini Huracán,"Lamborghini Huracán
","Lamborghini Huracán
",Yes,Products only,,Yes,,,Brand layout,,2991,58
Lamborghini Aventador,Europe1/Brand/CAPRISTO EXHAUST/Lamborghini,1,Yes,lamborghini-aventador,"Lamborghini Aventador
",,Lamborghini Aventador,"Lamborghini Aventador
","Lamborghini Aventador
",Yes,Products only,,Yes,,,Brand layout,,2990,58
Lamborghini Gallardo Gen.2  2008-2012,Europe1/Brand/CAPRISTO EXHAUST/Lamborghini,34,Yes,lamborghini-gallardo-gen-2-2008-2012,Lamborghini Gallardo Gen.2  (LP 560-4 / LP 570-4 / LP 550-2),,Lamborghini Gallardo Gen.2  (LP 560-4 / LP 570-4 / LP 550-2),Lamborghini Gallardo Gen.2  (LP 560-4 / LP 570-4 / LP 550-2),Lamborghini Gallardo Gen.2  (LP 560-4 / LP 570-4 / LP 550-2),Yes,Products only,,No,,,Brand layout,,486,58
Lamborghini Gallardo Gen.1  2003-2008,Europe1/Brand/CAPRISTO EXHAUST/Lamborghini,43,Yes,lamborghini-gallardo-gen-1-2003-2008,Lamborghini Gallardo Gen.1  2003-2008,,Lamborghini Gallardo Gen.1  2003-2008,Lamborghini Gallardo Gen.1  2003-2008,Lamborghini Gallardo Gen.1  2003-2008,Yes,Products only,,No,,,Brand layout,,479,58
Lamborghini Murciélago,Europe1/Brand/CAPRISTO EXHAUST/Lamborghini,52,Yes,lamborghini-murcielago,"Lamborghini Murciélago
",,Lamborghini Murciélago,"Lamborghini Murciélago
","Lamborghini Murciélago
",Yes,Products only,,Yes,,,Brand layout,,2989,58
MASERATI Quattroporte,Europe1/Brand/CAPRISTO EXHAUST/Maserati,73,Yes,maserati-quattroporte,MASERATI Quattroporte,,MASERATI Quattroporte,MASERATI Quattroporte,MASERATI Quattroporte,Yes,Products only,,Yes,,,Brand layout,,2999,58
MASERATI GranTurismo Sport Coupè 4.7i V8 \'12 –›,Europe1/Brand/CAPRISTO EXHAUST/Maserati,68,Yes,maserati-granturismo-sport-coupe-4-7i-v8-12,"MASERATI GranTurismo Sport Coupè 4.7i V8 \'12 –›
",,MASERATI GranTurismo Sport Coupè 4.7i V8 \'12 –›,"MASERATI GranTurismo Sport Coupè 4.7i V8 \'12 –›
","MASERATI GranTurismo Sport Coupè 4.7i V8 \'12 –›
",Yes,Products only,,Yes,,,Brand layout,,2998,58
MASERATI GranCabrio Sport 4.7i V8 \'11 –›,Europe1/Brand/CAPRISTO EXHAUST/Maserati,61,Yes,maserati-grancabrio-sport-4-7i-v8-11,"MASERATI GranCabrio Sport 4.7i V8 \'11 –›
",,MASERATI GranCabrio Sport 4.7i V8 \'11 –›,"MASERATI GranCabrio Sport 4.7i V8 \'11 –›
","MASERATI GranCabrio Sport 4.7i V8 \'11 –›
",Yes,Products only,,Yes,,,Brand layout,,2997,58
MASERATI GranCabrio 4.7i V8 ,Europe1/Brand/CAPRISTO EXHAUST/Maserati,52,Yes,maserati-grancabrio-4-7i-v8,"MASERATI GranCabrio 4.7i V8 
",,MASERATI GranCabrio 4.7i V8 ,"MASERATI GranCabrio 4.7i V8 
","MASERATI GranCabrio 4.7i V8 
",Yes,Products only,,Yes,,,Brand layout,,2996,58
MASERATI GranTurismo S Coupè 4.7i V8,Europe1/Brand/CAPRISTO EXHAUST/Maserati,43,Yes,maserati-granturismo-s-coupe-4-7i-v8,"MASERATI GranTurismo S Coupè 4.7i V8
",,MASERATI GranTurismo S Coupè 4.7i V8,"MASERATI GranTurismo S Coupè 4.7i V8
","MASERATI GranTurismo S Coupè 4.7i V8
",Yes,Products only,,Yes,,,Brand layout,,2995,58
MASERATI GranTurismo Coupè 4.2i V8 ,Europe1/Brand/CAPRISTO EXHAUST/Maserati,34,Yes,maserati-granturismo-coupe-4-2i-v8,"MASERATI GranTurismo Coupè 4.2i V8 
",,MASERATI GranTurismo Coupè 4.2i V8 ,"MASERATI GranTurismo Coupè 4.2i V8 
","MASERATI GranTurismo Coupè 4.2i V8 
",Yes,Products only,,Yes,,,Brand layout,,2994,58
MASERATI Coupè / Spyder Gransport 4.2i V8 ,Europe1/Brand/CAPRISTO EXHAUST/Maserati,25,Yes,maserati-coupe-spyder-gransport-4-2i-v8,"MASERATI Coupè / Spyder Gransport 4.2i V8 
",,MASERATI Coupè / Spyder Gransport 4.2i V8 ,"MASERATI Coupè / Spyder Gransport 4.2i V8 
","MASERATI Coupè / Spyder Gransport 4.2i V8 
",Yes,Products only,,Yes,,,Brand layout,,2993,58
MASERATI Coupè / Spyder 4.2i V8 \'02 –› \'04,Europe1/Brand/CAPRISTO EXHAUST/Maserati,1,Yes,maserati-coupe-spyder-4-2i-v8-02-04,"MASERATI Coupè / Spyder 4.2i V8 \'02 –› \'04
",,MASERATI Coupè / Spyder 4.2i V8 \'02 –› \'04,"MASERATI Coupè / Spyder 4.2i V8 \'02 –› \'04
","MASERATI Coupè / Spyder 4.2i V8 \'02 –› \'04
",Yes,Products only,,Yes,,,Brand layout,,2992,58
MASERATI Levante,Europe1/Brand/CAPRISTO EXHAUST/Maserati,83,Yes,maserati-levante,MASERATI Levante,,MASERATI Levante,MASERATI Levante,MASERATI Levante,Yes,Products only,,No,,,Brand layout,,3768,58
MASERATI Ghibli III (M157),Europe1/Brand/CAPRISTO EXHAUST/Maserati,78,Yes,maserati-ghibli-iii-m157,MASERATI Ghibli III (M157),,MASERATI Ghibli III (M157),MASERATI Ghibli III (M157),MASERATI Ghibli III (M157),Yes,Products only,,Yes,,,Brand layout,,1708,58
McLaren 675 LT,Europe1/Brand/CAPRISTO EXHAUST/McLaren,34,Yes,mclaren-675-lt,"McLaren 675 LT
",,McLaren 675 LT,"McLaren 675 LT
","McLaren 675 LT
",Yes,Products only,,Yes,,,Brand layout,,3524,58
McLaren 570 S,Europe1/Brand/CAPRISTO EXHAUST/McLaren,43,Yes,mclaren-570-s,"McLaren 570 S
",,McLaren 570 S,"McLaren 570 S
","McLaren 570 S
",Yes,Products only,,Yes,,,Brand layout,,3525,58
Mclaren P1,Europe1/Brand/CAPRISTO EXHAUST/McLaren,52,Yes,mclaren-p1,"Mclaren P1
",,Mclaren P1,"Mclaren P1
","Mclaren P1
",Yes,Products only,,Yes,,,Brand layout,,3526,58
Mclaren 650 S,Europe1/Brand/CAPRISTO EXHAUST/McLaren,25,Yes,mclaren-650-s,"Mclaren 650 S
",,Mclaren 650 S,"Mclaren 650 S
","Mclaren 650 S
",Yes,Products only,,Yes,,,Brand layout,,3002,58
Mclaren MP4-12C,Europe1/Brand/CAPRISTO EXHAUST/McLaren,1,Yes,mclaren-mp4-12c,Mclaren MP4-12C,,Mclaren MP4-12C,Mclaren MP4-12C,Mclaren MP4-12C,Yes,Products only,,Yes,,,Brand layout,,3001,58
Mercedes ML 63 AMG (W166),Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,258,Yes,mercedes-ml-63-amg-w166,Mercedes ML 63 AMG (W166),,Mercedes ML 63 AMG (W166),Mercedes ML 63 AMG (W166),Mercedes ML 63 AMG (W166),Yes,Products only,,Yes,,,Brand layout,,3405,58
Mercedes-Benz C63 AMG W205,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,108,Yes,mercedes-benz-c63-amg-w205,Mercedes-Benz C63 AMG W205,,Mercedes-Benz C63 AMG W205,Mercedes-Benz C63 AMG W205,Mercedes-Benz C63 AMG W205,Yes,Products only,,Yes,,,Brand layout,,3709,58
Mercedes AMG-GT | GT-S,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,323,Yes,mercedes-amg-gt-gt-s,Mercedes AMG-GT (C190)  | GT-S (C120),,Mercedes AMG-GT | GT-S,Mercedes AMG-GT | GT-S,Mercedes AMG-GT | GT-S,Yes,Products only,,Yes,,,Brand layout,,3551,58
Mercedes GLE-Class Coupe C292,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,268,Yes,mercedes-gle-class-coupe-c292,Mercedes GLE-Class Coupe C292,,Mercedes GLE-Class Coupe C292,Mercedes GLE-Class Coupe C292,Mercedes GLE-Class Coupe C292,Yes,Products only,,Yes,,,Brand layout,,3550,58
Mercedes GLE-Class W166,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,263,Yes,mercedes-gle-class-w166,Mercedes GLE-Class W166,,Mercedes GLE-Class W166,Mercedes GLE-Class W166,Mercedes GLE-Class W166,Yes,Products only,,Yes,,,Brand layout,,3549,58
Mercedes GLA-Class 45 AMG X156,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,228,Yes,mercedes-gla-class-45-amg-x156,Mercedes GLA-Class 45 AMG X156,,Mercedes GLA-Class 45 AMG X156,Mercedes GLA-Class 45 AMG X156,Mercedes GLA-Class 45 AMG X156,Yes,Products only,,Yes,,,Brand layout,,3547,58
Mercedes E-Class W213,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,203,Yes,mercedes-e-class-w213,Mercedes E-Class W213,,Mercedes E-Class W213,Mercedes E-Class W213,Mercedes E-Class W213,Yes,Products only,,Yes,,,Brand layout,,3546,58
Mercedes CLA 45 AMG C117,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,128,Yes,mercedes-cla-a-45-amg-c117,Mercedes CLA 45 AMG C117,,Mercedes CLA 45 AMG C117,Mercedes CLA 45 AMG C117,Mercedes CLA 45 AMG C117,Yes,Products only,,Yes,,,Brand layout,,3545,58
Mercedes GLE-Class Coupe 63 AMG C292,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,350,Yes,mercedes-gle-class-coupe-63-amg-c292,Mercedes GLE-Class Coupe 63 AMG C292,,Mercedes GLE-Class Coupe 63 AMG C292,Mercedes GLE-Class Coupe 63 AMG C292,Mercedes GLE-Class Coupe 63 AMG C292,Yes,Products only,,No,,,Brand layout,,3744,58
Mercedes C63 AMG Black Series,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,98,Yes,mercedes-c63-amg-black-series,Mercedes C63 AMG Black Series (W204),,Mercedes C63 AMG Black Series (W204),Mercedes C63 AMG Black Series (W204),Mercedes C63 AMG Black Series (W204),Yes,Products only,,No,,,Brand layout,,3391,58
Mercedes SLS AMG C197,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,320,Yes,mercedes-sls-amg-c197,Mercedes SLS AMG C197,,Mercedes SLS AMG C197,Mercedes SLS AMG C197,Mercedes SLS AMG C197,Yes,Products only,,Yes,,,Brand layout,,3367,58
Mercedes SLR C199,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,317,Yes,mercedes-slr-c199,Mercedes SLR C199,,Mercedes SLR C199,Mercedes SLR C199,Mercedes SLR C199,Yes,Products only,,Yes,,,Brand layout,,3360,58
Mercedes SLK  R171,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,311,No,mercedes-slk-r171,Mercedes SLK  R171,,Mercedes SLK  R171,Mercedes SLK  R171,Mercedes SLK  R171,Yes,Products only,,Yes,,,Brand layout,,3353,58
Mercedes SLK  R170,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,308,No,mercedes-slk-r170,Mercedes SLK  R170,,Mercedes SLK  R170,Mercedes SLK  R170,Mercedes SLK  R170,Yes,Products only,,Yes,,,Brand layout,,3346,58
Mercedes SL Class R231,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,305,Yes,mercedes-sl-class-r231,Mercedes SL Class R231,,Mercedes SL Class R231,Mercedes SL Class R231,Mercedes SL Class R231,Yes,Products only,,Yes,,,Brand layout,,3339,58
Mercedes SL Class R230,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,299,Yes,mercedes-sl-class-r230,Mercedes SL Class R230,,Mercedes SL Class R230,Mercedes SL Class R230,Mercedes SL Class R230,Yes,Products only,,Yes,,,Brand layout,,3332,58
Mercedes CLS   Shooting Brake X218,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,168,Yes,mercedes-cls-shooting-brake-x218,Mercedes CLS   Shooting Brake X218,,Mercedes CLS   Shooting Brake X218,Mercedes CLS   Shooting Brake X218,Mercedes CLS   Shooting Brake X218,Yes,Products only,,Yes,,,Brand layout,,3325,58
Mercedes CLK W208,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,133,No,mercedes-clk-w208,Mercedes CLK W208,,Mercedes CLK W208,Mercedes CLK W208,Mercedes CLK W208,Yes,Products only,,Yes,,,Brand layout,,3318,58
Mercedes  CL-Class C215,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,113,No,mercedes-cl-class-c215,Mercedes  CL-Class C215,,Mercedes  CL-Class C215,Mercedes  CL-Class C215,Mercedes  CL-Class C215,Yes,Products only,,Yes,,,Brand layout,,3311,58
Mercedes  A-Class A-45 AMG W176,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,43,Yes,mercedes-a-class-a-45-amg-w176,Mercedes  A-Class A-45 AMG W176,,Mercedes  A-Class A-45 AMG W176,Mercedes  A-Class A-45 AMG W176,Mercedes  A-Class A-45 AMG W176,Yes,Products only,,Yes,,,Brand layout,,3310,58
Mercedes-Benz SL63 V8 / SL 65 V12 (R231),Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,371,Yes,mercedes-benz-sl63-v8-sl-65-v12-r231,Mercedes-Benz SL63 V8 / SL 65 V12 (R231),,Mercedes-Benz SL63 V8 / SL 65 V12 (R231),Mercedes-Benz SL63 V8 / SL 65 V12 (R231),Mercedes-Benz SL63 V8 / SL 65 V12 (R231),Yes,Products only,,No,,,Brand layout,,3770,58
Mercedes-Benz CLS 63 AMG (C218),Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,368,Yes,mercedes-benz-cls-63-amg-c218,Mercedes-Benz CLS 63 AMG (C218),,Mercedes-Benz CLS 63 AMG (C218),Mercedes-Benz CLS 63 AMG (C218),Mercedes-Benz CLS 63 AMG (C218),Yes,Products only,,No,,,Brand layout,,3767,58
Mercedes-Benz GLS-Class X166,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,365,Yes,mercedes-benz-gls-class-x166,Mercedes-Benz GLS-Class X166,,Mercedes-Benz GLS-Class X166,Mercedes-Benz GLS-Class X166,Mercedes-Benz GLS-Class X166,Yes,Products only,,No,,,Brand layout,,3754,58
Mercedes-Benz GLS 63 AMG X166,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,362,Yes,mercedes-benz-gls-63-amg-x166,Mercedes-Benz GLS 63 AMG X166,,Mercedes-Benz GLS 63 AMG X166,Mercedes-Benz GLS 63 AMG X166,Mercedes-Benz GLS 63 AMG X166,Yes,Products only,,No,,,Brand layout,,3753,58
Mercedes-Benz S-Class 63 AMG (W222),Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,359,Yes,mercedes-s-class-63-amg-w222,Mercedes-Benz S-Class 63 AMG (W222),,Mercedes-Benz S-Class 63 AMG (W222),Mercedes-Benz S-Class 63 AMG (W222),Mercedes-Benz S-Class 63 AMG (W222),Yes,Products only,,No,,,Brand layout,,3752,58
"Mercedes S-Class Coupe 63 AMG	C217",Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,356,Yes,mercedes-s-class-coupe-63-amg-c217,"Mercedes S-Class Coupe 63 AMG	C217",,"Mercedes S-Class Coupe 63 AMG	C217","Mercedes S-Class Coupe 63 AMG	C217","Mercedes S-Class Coupe 63 AMG	C217",Yes,Products only,,No,,,Brand layout,,3750,58
Mercedes-AMG GT R,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,374,Yes,mercedes-amg-gt-r,Mercedes-AMG GT R,,Mercedes-AMG GT R,Mercedes-AMG GT R,Mercedes-AMG GT R,Yes,Products only,,No,,,Brand layout,,3778,58
Mercedes-Benz E63 AMG W213,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,389,Yes,mercedes-benz-e63-amg-w213,Mercedes-Benz E63 AMG W213,,Mercedes-Benz E63 AMG W213,Mercedes-Benz E63 AMG W213,Mercedes-Benz E63 AMG W213,Yes,Products only,,No,,,Brand layout,,3786,58
Mercedes S63 AMG Convertible A217,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,386,Yes,mercedes-s63-amg-convertible-a217,Mercedes S63 AMG Convertible A217,,Mercedes S63 AMG Convertible A217,Mercedes S63 AMG Convertible A217,Mercedes S63 AMG Convertible A217,Yes,Products only,,No,,,Brand layout,,3784,58
Mercedes-Benz GLC-Class SUV Wagon (X253),Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,383,Yes,mercedes-benz-glc-class-suv-wagon-x253,Mercedes-Benz GLC-Class SUV Wagon (X253),,Mercedes-Benz GLC-Class SUV Wagon (X253),Mercedes-Benz GLC-Class SUV Wagon (X253),Mercedes-Benz GLC-Class SUV Wagon (X253),Yes,Products only,,No,,,Brand layout,,3781,58
Mercedes-Benz GLC-Class Coupe (C253),Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,380,Yes,mercedes-benz-glc-class-coupe-c253,Mercedes-Benz GLC-Class Coupe (C253),,Mercedes-Benz GLC-Class Coupe (C253),Mercedes-Benz GLC-Class Coupe (C253),Mercedes-Benz GLC-Class Coupe (C253),Yes,Products only,,No,,,Brand layout,,3780,58
Mercedes-Benz S-Class Sedan (W222),Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,377,Yes,mercedes-benz-s-class-sedan-w222,Mercedes-Benz S-Class Sedan (W222),,Mercedes-Benz S-Class Sedan (W222),Mercedes-Benz S-Class Sedan (W222),Mercedes-Benz S-Class Sedan (W222),Yes,Products only,,No,,,Brand layout,,3779,58
"Mercedes S-Class Coupe	 C217",Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,353,Yes,mercedes-s-class-coupe-c217,"Mercedes S-Class Coupe	 C217",,"Mercedes S-Class Coupe	 C217","Mercedes S-Class Coupe	 C217","Mercedes S-Class Coupe	 C217",Yes,Products only,,No,,,Brand layout,,3749,58
Mercedes E 63 AMG  W212,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,198,Yes,mercedes-e-63-amg-w212,Mercedes E 63 AMG  W212,,Mercedes E 63 AMG  W212,Mercedes E 63 AMG  W212,Mercedes E 63 AMG  W212,Yes,Products only,,No,,,Brand layout,,535,58
Mercedes C63 AMG coupe and sedan W204 facelift 2011,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,93,Yes,mercedes-c63-amg-coupe-sedan-w-204-facelift-2011,Mercedes Benz C63 AMG coupe / sedan W-204 facelift 2011 (MY 2011 onwards),,,Mercedes Benz C63 AMG coupe / sedan W-204 facelift 2011 (MY 2011 onwards),,Yes,Products only,,Yes,,,Brand layout,,48,58
Mercedes CLS 63 AMG  C219,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,158,Yes,mercedes-cls-63-amg-c219,Mercedes CLS 63 AMG ,,Mercedes CLS 63 AMG ,Mercedes CLS 63 AMG ,Mercedes CLS 63 AMG ,Yes,Products only,,Yes,,,Brand layout,,534,58
Mercedes CLK W209,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,138,Yes,mercedes-clk-w209,Mercedes CLK W209,,Mercedes CLK W209,Mercedes CLK W209,Mercedes CLK W209,Yes,Products only,,Yes,,,Brand layout,,495,58
Mercedes CLK 63 Black Series (W209),Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,148,Yes,mercedes-clk-63-black-series,"Mercedes CLK 63 Black Series (W209)
",,Mercedes CLK 63 Black Series (W209),"Mercedes CLK 63 Black Series (W209)
","Mercedes CLK 63 Black Series (W209)
",Yes,Products only,,No,,,Brand layout,,494,58
Mercedes CLK 63 AMG (W209),Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,143,Yes,mercedes-clk-63-amg,Mercedes CLK 63 AMG (W209),,Mercedes CLK 63 AMG,Mercedes CLK 63 AMG (W209),Mercedes CLK 63 AMG (W209),Yes,Products only,,No,,,Brand layout,,493,58
Mercedes E-Class Coupe C-207,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,178,Yes,e-class-coupe-c-207,Mercedes E-Class Coupe C-207,,,Mercedes E-Class Coupe C-207,Mercedes E-Class Coupe C-207,Yes,Products only,,No,,,Brand layout,,44,58
Mercedes C63 AMG sedan W204 pre-facelift 2008-2010,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,88,Yes,c63-amg-sedan-pre-facelift-my-2008-2010,Mercedes C63 AMG sedan W204 Pre-facelift (MY 2008-2010) ,,,"C63 AMG, Mercedes C63 AMG sedan, C63 AMG Pre-facelift","C63 AMG, Mercedes C63 AMG sedan, C63 AMG Pre-facelift, Mercedes Benz C63 AMG",Yes,Products only,,Yes,,,Brand layout,,43,58
Mercedes C-Class (W204),Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,83,Yes,mercedes-c-class-w204,Mercedes C-Class (W204),,Mercedes C-Class (W204),Mercedes C-Class (W204),Mercedes C-Class (W204),Yes,Products only,,Yes,,,Brand layout,,1711,58
Mercedes CLA (C 117),Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,123,Yes,mercedes-cla-c-117,Mercedes CLA (C 117),,Mercedes CLA (C 117),Mercedes CLA (C 117),Mercedes CLA (C 117),Yes,Products only,,Yes,,,Brand layout,,1712,58
Mercedes CLS (C218),Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,163,Yes,mercedes-cls-c218,Mercedes CLS (C218),,Mercedes CLS (C218),Mercedes CLS (C218),Mercedes CLS (C218),Yes,Products only,,Yes,,,Brand layout,,1713,58
Mercedes E (W212),Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,193,Yes,mercedes-e-w212,Mercedes E (W212),,Mercedes E (W212),Mercedes E (W212),Mercedes E (W212),Yes,Products only,,Yes,,,Brand layout,,1714,58
Mercedes GL (X166),Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,218,Yes,mercedes-gl-x166,Mercedes GL (X166),,Mercedes GL (X166),Mercedes GL (X166),Mercedes GL (X166),Yes,Products only,,Yes,,,Brand layout,,1715,58
Mercedes GLA (X156),Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,223,Yes,mercedes-gla-x156,Mercedes GLA (X156),,Mercedes GLA (X156),Mercedes GLA (X156),Mercedes GLA (X156),Yes,Products only,,Yes,,,Brand layout,,1716,58
Mercedes GLK (X204),Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,233,Yes,mercedes-glk-x204,Mercedes GLK (X204),,Mercedes GLK (X204),Mercedes GLK (X204),Mercedes GLK (X204),Yes,Products only,,Yes,,,Brand layout,,1717,58
Mercedes ML-Class (W166),Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,253,Yes,mercedes-ml-w166,Mercedes ML-Class (W166),,Mercedes ML-Class (W166),Mercedes ML-Class (W166),Mercedes ML-Class (W166),Yes,Products only,,Yes,,,Brand layout,,1718,58
Mercedes-Benz S-Class (W222),Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,295,Yes,mercedes-s-class-w222,Mercedes-Benz S-Class (W222),,Mercedes-Benz S-Class (W222),Mercedes-Benz S-Class (W222),Mercedes-Benz S-Class (W222),Yes,Products only,,Yes,,,Brand layout,,1719,58
Mercedes SLK (R172),Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,314,Yes,mercedes-slk-r172,Mercedes SLK (R172),,Mercedes SLK (R172),Mercedes SLK (R172),Mercedes SLK (R172),Yes,Products only,,Yes,,,Brand layout,,1720,58
Mercedes A (W168),Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,1,No,mercedes-a-w168,Mercedes A (W168),,Mercedes A (W168),Mercedes A (W168),Mercedes A (W168),Yes,Products only,,Yes,,,Brand layout,,1721,58
Mercedes A (W169),Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,25,No,mercedes-a-w169,Mercedes A (W169),,Mercedes A (W169),Mercedes A (W169),Mercedes A (W169),Yes,Products only,,Yes,,,Brand layout,,1722,58
Mercedes B (W246),Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,61,No,mercedes-b-w246,Mercedes B (W246),,Mercedes B (W246),Mercedes B (W246),Mercedes B (W246),Yes,Products only,,Yes,,,Brand layout,,1710,58
Mercedes A (W176),Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,34,Yes,mercedes-a-w176,Mercedes A (W176),,Mercedes A (W176),Mercedes A (W176),Mercedes A (W176),Yes,Products only,,Yes,,,Brand layout,,1709,58
Mercedes B (T245),Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,52,No,mercedes-b-t245,Mercedes B (T245),,Mercedes B (T245),Mercedes B (T245),Mercedes B (T245),Yes,Products only,,Yes,,,Brand layout,,1723,58
Mercedes SL 63 AMG R230,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,302,Yes,mercedes-sl-63-amg-r230,Mercedes SL 63 AMG R230,,Mercedes SL 63 AMG R230,Mercedes SL 63 AMG R230,Mercedes SL 63 AMG R230,Yes,Products only,,No,,,Brand layout,,540,58
Mercedes CL-Class (C216),Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,118,Yes,mercedes-cl-class-c216,Mercedes CL-Class (C216),,Mercedes CL-Class (C216),Mercedes CL-Class (C216),Mercedes CL-Class (C216),Yes,Products only,,No,,,Brand layout,,539,58
Mercedes R 63 AMG  W251,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,278,Yes,mercedes-r-63-amg-w251,Mercedes R 63 AMG  W251,,Mercedes R 63 AMG  W251,Mercedes R 63 AMG  W251,Mercedes R 63 AMG  W251,Yes,Products only,,No,,,Brand layout,,538,58
Mercedes ML 63 AMG  W164,Europe1/Brand/CAPRISTO EXHAUST/Mercedes-Benz ,248,Yes,mercedes-ml-63-amg-w164,Mercedes ML 63 AMG  W164,,Mercedes ML 63 AMG  W164,Mercedes ML 63 AMG  W164,Mercedes ML 63 AMG  W164,Yes,Products only,,No,,,Brand layout,,537,58
